Team,team_id,abrev
St. Joseph's,250,STJOE
Saint Louis,251,STLOU
Saint Mary's,252,STMRY
Saint Peter's,253,STPC
St. Peter's,253,STPC
Sam Houston St.,254,SHSU
Sam Houston State,254,SHSU
Sam Houston,254,SHSU
Samford,255,SAMF
UC-San Diego,256,SAND
San Diego,256,SAND
San Diego St.,257,SDSU
San Diego State,257,SDSU
San Francisco,258,SANFR
San Jose St.,259,SJSU
San Jose State,259,SJSU
Santa Clara,260,SCU
Savannah St.,364,SST
Savannah State,364,SST
Seattle,261,SEA
Seton Hall,262,SETON
Siena,263,SIENA
SIU Edwardsville,264,SIUE
SIU-Edwardsville,264,SIUE
SMU,276,SMU
South Alabama,265,USA
South Carolina,266,SOCAR
South Carolina St.,267,SCSU
South Carolina State,267,SCSU
South Dakan St.,269,SDKSU
South Dakota,268,SODAK
South Dakota St.,269,SDKSU
South Dakota State,269,SDKSU
South Florida,270,USOFL
Southeast Missouri St.,271,SEMO
Southeast Missouri State,271,SEMO
Southeastern Louisiana,272,SELU
Southern,273,SUBR
Southern Illinois,274,SOILL
Southern Indiana,275,USI
Southern Methodist,276,SMU
Southern Methodist,276,SMU
Southern Miss,277,SOMIS
Southern Mississippi,277,SOMIS
Southern Utah,278,SUU
Southwest Missouri St.,179,MZZST
Southwest Texas St.,302,TXST
St. Bonaventure,279,STBN
St. Francis (NY),280,SFC
St. Francis (PA),281,STFPA
St. Francis NY,280,SFC
Saint Francis (PA),281,STFPA
Saint Francis,281,STFPA
St. Francis PA,281,STFPA
St. John's,282,STJ
St. John's (NY),282,STJ
St. Thomas,283,STTOM
St. Thomas (MN),283,STTOM
St. Thomas (MN),283,STTOM
St. Thomas-Minnesota,283,STTOM
Stanford,284,STAN
Stephen F. Austin,285,SFA
Stetson,286,STET
Stonehill,287,STONE
Stony Brook,288,SB
Syracuse,289,SYRA
Tarleton St.,290,TARST
Tarleton State,290,TARST
TCU,291,TCU
TCU,291,TCU
Temple,292,TEM
Tennessee,293,TENN
Tennessee Martin,296,UTM
Tennessee St.,294,TNST
Tennessee State,294,TNST
Tennessee Tech,295,TNTCH
Tennessee-Martin,296,UTM
UT-Martin,296,UTM
Texas,297,TEXAS
Texas A&M,298,TAMU
Texas A&M Commerce,299,TAMUC
Texas A&M-Commerce,299,TAMUC
Texas A&M Corpus Chris,300,TAMU-CC
Texas A&M-CC,300,TAMU-CC
Texas A&M-Corpus Christi,300,TAMU-CC
Texas Christian,291,TCU
Texas Christian,291,TCU
Texas Pan American,305,UTRGV
Texas Pan American,0,0
Texas Southern,301,TEXSO
Texas-San Antonio,306,UTSA
Texas St.,302,TXST
Texas State,302,TXST
Texas Tech,303,TXTCH
Texas-Arlington,304,UTA
Texas-RGV,305,UTRGV
