Team,nickname,abbrev,conference,location,home_venue,season
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2024
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2024
Iowa State,Cyclones,IWAST,Big 12,"Ames, IA",James H. Hilton Coliseum,2024
IUPUI,Jaguars,IUPUI,Horizon,"Indianapolis, IN",Indiana Farmers Coliseum,2024
Jackson State,Tigers,JKSN,SWAC,"Jackson, MS",Lee E. Williams Athletic and Assembly Center,2024
Jacksonville,Dolphins,JAC,A-Sun,"Jacksonville, FL",Swisher Gymnasium,2024
Jacksonville State,Gamecocks,JKSNV,C-USA,"Jacksonville, AL",Pete Mathews Coliseum,2024
James Madison,Dukes,JMU,Sun Belt,"Harrisonburg, VA",Atlantic Union Bank Center,2024
Kansas,Jayhawks,KU,Big 12,"Lawrence, KS",Phog Allen Fieldhouse,2024
Kansas State,Wildcats,KSU,Big 12,"Manhattan, KS",Bramlage Coliseum,2024
Kennesaw State,Owls,KENN,A-Sun,"Kennesaw, GA",KSU Convocation Center,2024
Kent State,Golden Flashes,KENT,MAC,"Kent, OH",M.A.C. Center,2024
Kentucky,Wildcats,UK,SEC,"Lexington, KY",Rupp Arena,2024
La Salle,Explorers,LASAL,A-10,"Philadelphia, PA",Tom Gola Arena,2024
Lafayette,Leopards,LAFAY,Patriot,"Easton, PA",Kirby Sports Center,2024
Lamar,Cardinals,LAMAR,Southland,"Beaumont, TX",Montagne Center,2024
Le Moyne,Dolphins,MOYNE,NEC,"Syracuse, NY",Ted Grant Court,2024
Lehigh,Mountain Hawks,LEHI,Patriot,"Bethlehem, PA",Stabler Arena,2024
Liberty,Flames,LBRTY,C-USA,"Lynchburg, VA",Liberty Arena,2024
Lindenwood,Lions,LIND,OVC,"Saint Charles, MO",Hyland Arena,2024
Lipscomb,Bisons,LIP,A-Sun,"Nashville, TN",Allen Arena,2024
Little Rock,Trojans,UALR,OVC,"Little Rock, AR",Jack Stephens Center,2024
Long Beach State,Beach,LBSU,Big West,"Long Beach, CA",Walter Pyramid,2024
Long Island,Sharks,LIU,NEC,"Brooklyn, NY",Steinberg Wellness Center,2024
Longwood,Lancers,LONG,Big South,"Farmville, VA",Joan Perry Brock Center,2024
Louisiana,Ragin' Cajuns,LA,Sun Belt,"Lafayette, LA",Cajundome,2024
Louisiana Tech,Bulldogs,LATCH,C-USA,"Ruston, LA",Thomas Assembly Center,2024
Louisiana-Monroe,Warhawks,ULM,Sun Belt,"Monroe, LA",Fant-Ewing Coliseum,2024
Louisville,Cardinals,LVILL,ACC,"Louisville, KY",KFC Yum! Center,2024
Loyola (IL),Ramblers,L-IL,A-10,"Chicago, IL",Joseph J. Gentile Arena,2024
Loyola (MD),Greyhounds,L-MD,Patriot,"Baltimore, MD",Reitz Arena,2024
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2024
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2024
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2024
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2024
