Team,nickname,abbrev,conference,location,home_venue,season
Notre Dame,Fighting Irish,ND,AAC,"South Bend, IN",Purcell Pavilion,2012
Oakland,Golden Grizzlies,OAKL,Summit,"Rochester, MI",OU Credit Union O'rena,2012
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2012
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2012
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2012
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2012
Old Dominion,Monarchs,ODU,CAA,"Norfolk, VA",Chartway Arena,2012
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2012
Omaha,Mavericks,OMAHA,INDEP,"Omaha, NE",Baxter Arena,2012
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2012
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2012
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2012
Pacific,Tigers,PACI,Big West,"Stockton, CA",Alex G. Spanos Center,2012
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2012
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2012
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2012
Pittsburgh,Panthers,PITT,AAC,"Pittsburgh, PA",Petersen Events Center,2012
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2012
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2012
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2012
Presbyterian,Blue Hose,PRSBY,Big South,"Clinton, SC",Ross E. Templeton P.E. Center,2012
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2012
Providence,Friars,PROV,AAC,"Providence, RI",Amica Mutual Pavilion,2012
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2012
Quinnipiac,Bobcats,QUIN,NEC,"Hamden, CT",M&T Bank Arena,2012
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2012
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2012
Rice,Owls,RICE,C-USA,"Houston, TX",Tudor Fieldhouse,2012
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2012
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2012
Robert Morris,Colonials,RMU,NEC,"Moon Township, PA",UPMC Events Center,2012
Rutgers,Scarlet Knights,RUTG,AAC,"Piscataway, NJ",Jersey Mike's Arena,2012
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2012
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2012
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2012
Saint Louis,Billikens,STLOU,A-10,"St. Louis, MO",Chaifetz Arena,2012
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2012
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2012
Sam Houston State,Bearkats,SHSU,Southland,"Huntsville, TX",Bernard G. Johnson Coliseum,2012
Samford,Bulldogs,SAMF,SoCon,"Homewood, AL",Pete Hanna Center,2012
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2012
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2012
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2012
San Jose State,Spartans,SJSU,WAC,"San Jose, CA",Provident Credit Union Event Center,2012
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2012
Savannah State,Tigers,SST,MEAC,"Savannah, GA",Tiger Arena,2012
Seattle,Redhawks,SEA,INDEP,"Seattle, WA",Redhawk Center,2012
Seton Hall,Pirates,SETON,AAC,"Newark, NJ",Prudential Center,2012
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2012
SIU-Edwardsville,Cougars,SIUE,OVC,"Edwardsville, IL",First Community Arena at the Vadalabene Center,2012
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2012
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2012
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2012
South Dakota,Coyotes,SODAK,Summit,"Vermillion, SD",Sanford Coyote Sports Center,2012
South Dakota State,Jackrabbits,SDKSU,Summit,"Brookings, SD",Frost Arena,2012
South Florida,Bulls,USOFL,AAC,"Tampa, FL",Yuengling Center,2012
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2012
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2012
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2012
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2012
Southern Methodist,Mustangs,SMU,C-USA,"Dallas, TX",Moody Coliseum,2012
Southern Mississippi,Golden Eagles,SOMIS,C-USA,"Hattiesburg, MS",Reed Green Coliseum,2012
Southern Utah,Thunderbirds,SUU,Summit,"Cedar City, UT",America First Events Center,2012
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2012
St. Francis (NY),Terriers,SFC,NEC,"Brooklyn, NY",Pope Physical Education Center,2012
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2012
St. John's,Red Storm,STJ,AAC,"Queens, NY",Carnesecca Arena,2012
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2012
Stephen F. Austin,Lumberjacks,SFA,Southland,"Nacogdoches, TX",William R. Johnson Coliseum,2012
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2012
Stony Brook,Seawolves,SB,AM East,"Stony Brook, NY",Island FCU Arena,2012
Syracuse,Orange,SYRA,AAC,"Syracuse, NY",JMA Wireless Dome,2012
TCU,Horned Frogs,TCU,MWC,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2012
Temple,Owls,TEM,A-10,"Philadelphia, PA",Liacouras Center,2012
Tennessee,Volunteers,TENN,SEC,"Knoxville, TN",Thompson-Boling Arena,2012
Tennessee State,Tigers,TNST,OVC,"Nashville, TN",Gentry Center,2012
Tennessee Tech,Golden Eagles,TNTCH,OVC,"Cookeville, TN",Hooper Eblen Center,2012
Tennessee-Martin,Skyhawks,UTM,OVC,"Martin, TN",Kathleen and Tom Elam Center,2012
Texas,Longhorns,TEXAS,Big 12,"Austin, TX",Moody Center,2012
Texas A&M,Aggies,TAMU,Big 12,"College Station, TX",Reed Arena,2012
Texas A&M-CC,Islanders,TAMU-CC,Southland,"Corpus Christi, TX",American Bank Center,2012
Texas Southern,Tigers,TEXSO,SWAC,"Houston, TX",H&PE Arena,2012
Texas State,Bobcats,TXST,Southland,"San Marcos, TX",Strahan Arena at the University Events Center,2012
Texas Tech,Red Raiders,TXTCH,Big 12,"Lubbock, TX",United Supermarkets Arena,2012
Texas-Arlington,Mavericks,UTA,Southland,"Arlington, TX",College Park Center,2012
Texas-RGV,Vaqueros,UTRGV,GWC,"Edinburg, TX",UTRGV Fieldhouse,2012
Texas-San Antonio,Roadrunners,UTSA,Southland,"San Antonio, TX",UTSA Convocation Center,2012
The Citadel,Bulldogs,CTDL,SoCon,"Charleston, SC",McAlister Field House,2012
Toledo,Rockets,U of T,MAC,"Toledo, OH",Savage Arena,2012
Towson,Tigers,TOWS,CAA,"Towson, MD",SECU Arena,2012
Troy,Trojans,TROY,Sun Belt,"Troy, AL",Trojan Arena,2012
Tulane,Green Wave,TULAN,C-USA,"New Orleans, LA",Avron B. Fogelman Arena in the Devlin Fieldhouse,2012
Tulsa,Golden Hurricane,TULSA,C-USA,"Tulsa, OK",Donald W. Reynolds Center,2012
UAB,Blazers,UAB,C-USA,"Birmingham, AL",Bartow Arena,2012
UC Davis,Aggies,UCD,Big West,"Davis, CA",University Credit Union Center,2012
UC Irvine,Anteaters,UCI,Big West,"Irvine, CA",Bren Events Center,2012
UC Riverside,Highlanders,UCR,Big West,"Riverside, CA",SRC Arena,2012
UC Santa Barbara,Gauchos,UCSB,Big West,"Santa Barbara, CA",The Thunderdome,2012
UCF,Knights,UCF,C-USA,"Orlando, FL",Addition Financial Arena,2012
UCLA,Bruins,UCLA,Pac-12,"Los Angeles, CA",Pauley Pavilion,2012
UConn,Huskies,UConn,AAC,"Storrs, CT",Harry A. Gampel Pavilion,2012
UMBC,Retrievers,UMBC,AM East,"Baltimore, MD",Chesapeake Employers Insurance Arena,2012
UMKC,Kangaroos,UMKC,Summit,"Kansas City, MO",Swinney Recreation Center,2012
UNC Asheville,Bulldogs,UNCA,Big South,"Asheville, NC",Kimmel Arena,2012
UNC Greensboro,Spartans,UNCG,SoCon,"Greensboro, NC",Greensboro Coliseum Fieldhouse,2012
UNC Wilmington,Seahawks,UNCW,CAA,"Wilmington, NC",Trask Coliseum,2012
UNLV,Runnin' Rebels,UNLV,MWC,"Las Vegas, NV",Thomas & Mack Center,2012
USC,Trojans,USC,Pac-12,"Los Angeles, CA",Galen Center,2012
USC Upstate,Spartans,USCU,A-Sun,"Spartanburg, SC",G.B. Hodge Center,2012
Utah,Utes,U of U,Pac-12,"Salt Lake City, UT",Jon M. Huntsman Center,2012
Utah State,Aggies,USU,WAC,"Logan, UT",Dee Glen Smith Spectrum,2012
Utah Valley,Wolverines,UVU,GWC,"Orem, UT",UCCU Center,2012
UTEP,Miners,UTEP,C-USA,"El Paso, TX",Don Haskins Center,2012
Valparaiso,Beacons,VAL,Horizon,"Valparaiso, IN",Athletics-Recreation Center,2012
Vanderbilt,Commodores,VANDY,SEC,"Nashville, TN",Memorial Gymnasium (TN),2012
VCU,Rams,VCU,CAA,"Richmond, VA",Stuart C. Siegel Center,2012
Vermont,Catamounts,UVM,AM East,"Burlington, VT",Patrick Gymnasium,2012
Villanova,Wildcats,VILL,AAC,"Villanova, PA",Finneran Pavilion,2012
Virginia,Cavaliers,UVA,ACC,"Charlottesville, VA",John Paul Jones Arena,2012
Virginia Military,Keydets,VMI,Big South,"Lexington, VA",Cameron Hall,2012
Virginia Tech,Hokies,VT,ACC,"Blacksburg, VA",Cassell Coliseum,2012
Wagner,Seahawks,WAGNR,NEC,"Staten Island, NY",Spiro Sports Center,2012
Wake Forest,Demon Deacons,WF,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum,2012
Washington,Huskies,UWASH,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion,2012
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2012
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2012
West Virginia,Mountaineers,WVU,AAC,"Morgantown, WV",WVU Coliseum,2012
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2012
Western Illinois,Leathernecks,WIU,Summit,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2012
Western Kentucky,Hilltoppers,WKU,Sun Belt,"Bowling Green, KY",E. A. Diddle Arena,2012
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2012
Wichita State,Shockers,WICHI,MVC,"Wichita, KS",Charles Koch Arena,2012
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2012
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2012
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2012
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2012
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2012
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2012
Xavier,Musketeers,XAV,A-10,"Cincinnati, OH",Cintas Center,2012
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2012
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2012
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2011
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2011
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2011
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2011
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2011
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2011
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2011
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2011
Appalachian State,Mountaineers,APPST,SoCon,"Boone, NC",George M. Holmes Convocation Center,2011
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2011
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2011
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2011
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2011
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2011
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2011
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2011
Austin Peay,Governors,APSU,OVC,"Clarksville, TN",F&M Bank Arena,2011
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2011
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2011
Belmont,Bruins,BLMNT,A-Sun,"Nashville, TN",Curb Event Center Arena,2011
Bethune-Cookman,Wildcats,BTHCK,MEAC,"Daytona Beach, FL",Moore Gymnasium (FL),2011
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2011
Boise State,Broncos,BOISE,WAC,"Boise, ID",ExtraMile Arena,2011
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum,2011
Boston University,Terriers,BSTN,AM East,"Boston, MA",Case Gym,2011
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2011
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2011
Brigham Young,Cougars,BYU,MWC,"Provo, UT",Marriott Center,2011
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2011
Bryant,Bulldogs,BRYNT,NEC,"Smithfield, RI",Chace Athletic Center,2011
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2011
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2011
Butler,Bulldogs,BTLR,Horizon,"Indianapolis, IN",Hinkle Fieldhouse,2011
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2011
Cal State Bakersfield,Roadrunners,CSUB,INDEP,"Bakersfield, CA",Icardo Center,2011
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2011
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2011
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2011
Campbell,Fighting Camels,CAM,A-Sun,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2011
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2011
Centenary,Gentlemen,CCL,Summit,"Shreveport, LA",Gold Dome,2011
Central Arkansas,Bears,UCA,Southland,"Conway, AR",Farris Center,2011
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2011
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2011
Charleston,Cougars,C of C,SoCon,"Charleston, SC",TD Arena,2011
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2011
Charlotte,49ers,CHAR,A-10,"Charlotte, NC",Dale F. Halton Arena,2011
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2011
Chicago State,Cougars,CHIST,GWC,"Chicago, IL",Emil and Patricia Jones Convocation Center,2011
Cincinnati,Bearcats,CINCY,AAC,"Cincinnati, OH",Fifth Third Arena,2011
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2011
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2011
Coastal Carolina,Chanticleers,CCU,Big South,"Conway, SC",The HTC Center,2011
Colgate,Raiders,COLGT,Patriot,"Hamilton, NY",Cotterell Court,2011
Colorado,Buffaloes,COLO,Big 12,"Boulder, CO",CU Events Center,2011
Colorado State,Rams,COLST,MWC,"Fort Collins, CO",Moby Arena,2011
Columbia,Lions,COM,Ivy,"New York, NY",Francis S. Levien Gymnasium,2011
Coppin State,Eagles,COPST,MEAC,"Baltimore, MD",Physical Education Complex,2011
Cornell,Big Red,COR,Ivy,"Ithaca, NY",Newman Arena,2011
Creighton,Bluejays,CREI,MVC,"Omaha, NE",CHI Health Center Omaha,2011
Dartmouth,Big Green,DART,Ivy,"Hanover, NH",Edward Leede Arena,2011
Davidson,Wildcats,DAV,SoCon,"Davidson, NC",John M. Belk Arena,2011
Dayton,Flyers,DAY,A-10,"Dayton, OH",UD Arena,2011
Delaware,Fightin Blue Hens,DEL,CAA,"Newark, DE",Bob Carpenter Center,2011
Delaware State,Hornets,DESU,MEAC,"Dover, DE","Memorial Hall (Dover, DE)",2011
Denver,Pioneers,DEN,Sun Belt,"Denver, CO",Hamilton Gymnasium,2011
DePaul,Blue Demons,DEP,AAC,"Chicago, IL",Wintrust Arena,2011
Detroit-Mercy,Titans,UDM,Horizon,"Detroit, MI",Calihan Hall,2011
Drake,Bulldogs,DRAKE,MVC,"Des Moines, IA",The Knapp Center,2011
Drexel,Dragons,DREX,CAA,"Philadelphia, PA",Daskalakis Athletic Center,2011
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2011
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2011
East Carolina,Pirates,ECAR,C-USA,"Greenville, NC",Williams Arena at Minges Coliseum,2011
East Tennessee State,Buccaneers,ETSU,A-Sun,"Johnson City, TN",Freedom Hall Civic Center,2011
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2011
Eastern Kentucky,Colonels,EKU,OVC,"Richmond, KY",Baptist Health Arena,2011
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2011
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2011
Elon,Phoenix,ELON,SoCon,"Elon, NC",Schar Center,2011
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2011
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2011
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2011
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2011
Florida A&M,Rattlers,FAMU,MEAC,"Tallahassee, FL",Al Lawson Center,2011
Florida Atlantic,Owls,FAU,Sun Belt,"Boca Raton, FL",Eleanor R. Baldwin Arena,2011
Florida Gulf Coast,Eagles,FGCU,A-Sun,"Fort Myers, FL",Alico Arena,2011
Florida International,Golden Panthers,FIU,Sun Belt,"Miami, FL",Ocean Bank Convocation Center,2011
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2011
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2011
Fort Wayne,Mastodons,IPFW,Summit,"Fort Wayne, IN",Allen County War Memorial Coliseum,2011
Fresno State,Bulldogs,FRSNO,WAC,"Fresno, CA",Save Mart Center,2011
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2011
Gardner-Webb,Runnin' Bulldogs,GWU,Big South,"Boiling Springs, NC",Paul Porter Arena,2011
George Mason,Patriots,GMU,CAA,"Fairfax, VA",EagleBank Arena,2011
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2011
Georgetown,Hoyas,GTOWN,AAC,"Washington, DC",Capital One Arena,2011
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2011
Georgia Southern,Eagles,GASO,SoCon,"Statesboro, GA",W.S. Hanner Fieldhouse,2011
Georgia State,Panthers,GAST,CAA,"Atlanta, GA",GSU Convocation Center,2011
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2011
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2011
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2011
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2011
Hampton,Pirates,HMPTN,MEAC,"Hampton, VA",Convocation Center (VA),2011
Hartford,Hawks,UHA,AM East,"Hartford, CT",Chase Arena,2011
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2011
Hawaii,Rainbow Warriors,HAW,WAC,"Honolulu, HI",Stan Sheriff Center,2011
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2011
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2011
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2011
Houston,Cougars,U of H,C-USA,"Houston, TX",Fertitta Center,2011
Houston Christian,Huskies,HCU,GWC,"Houston, TX",Sharp Gymnasium,2011
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2011
Idaho,Vandals,IDAHO,WAC,"Moscow, ID",ICCU Arena,2011
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2011
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2011
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2011
Illinois-Chicago,Flames,UIC,Horizon,"Chicago, IL",Credit Union 1 Arena,2011
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2011
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2011
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2011
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2011
Iowa State,Cyclones,IWAST,Big 12,"Ames, IA",James H. Hilton Coliseum,2011
IUPUI,Jaguars,IUPUI,Summit,"Indianapolis, IN",Indiana Farmers Coliseum,2011
Jackson State,Tigers,JKSN,SWAC,"Jackson, MS",Lee E. Williams Athletic and Assembly Center,2011
Jacksonville,Dolphins,JAC,A-Sun,"Jacksonville, FL",Swisher Gymnasium,2011
Jacksonville State,Gamecocks,JKSNV,OVC,"Jacksonville, AL",Pete Mathews Coliseum,2011
James Madison,Dukes,JMU,CAA,"Harrisonburg, VA",Atlantic Union Bank Center,2011
Kansas,Jayhawks,KU,Big 12,"Lawrence, KS",Phog Allen Fieldhouse,2011
Kansas State,Wildcats,KSU,Big 12,"Manhattan, KS",Bramlage Coliseum,2011
Kennesaw State,Owls,KENN,A-Sun,"Kennesaw, GA",KSU Convocation Center,2011
Kent State,Golden Flashes,KENT,MAC,"Kent, OH",M.A.C. Center,2011
Kentucky,Wildcats,UK,SEC,"Lexington, KY",Rupp Arena,2011
La Salle,Explorers,LASAL,A-10,"Philadelphia, PA",Tom Gola Arena,2011
Lafayette,Leopards,LAFAY,Patriot,"Easton, PA",Kirby Sports Center,2011
Lamar,Cardinals,LAMAR,Southland,"Beaumont, TX",Montagne Center,2011
Lehigh,Mountain Hawks,LEHI,Patriot,"Bethlehem, PA",Stabler Arena,2011
Liberty,Flames,LBRTY,Big South,"Lynchburg, VA",Liberty Arena,2011
Lipscomb,Bisons,LIP,A-Sun,"Nashville, TN",Allen Arena,2011
Little Rock,Trojans,UALR,Sun Belt,"Little Rock, AR",Jack Stephens Center,2011
Long Beach State,Beach,LBSU,Big West,"Long Beach, CA",Walter Pyramid,2011
Long Island,Sharks,LIU,NEC,"Brooklyn, NY",Steinberg Wellness Center,2011
Longwood,Lancers,LONG,INDEP,"Farmville, VA",Joan Perry Brock Center,2011
Louisiana,Ragin' Cajuns,LA,Sun Belt,"Lafayette, LA",Cajundome,2011
Louisiana Tech,Bulldogs,LATCH,WAC,"Ruston, LA",Thomas Assembly Center,2011
Louisiana-Monroe,Warhawks,ULM,Sun Belt,"Monroe, LA",Fant-Ewing Coliseum,2011
Louisville,Cardinals,LVILL,AAC,"Louisville, KY",KFC Yum! Center,2011
Loyola (IL),Ramblers,L-IL,Horizon,"Chicago, IL",Joseph J. Gentile Arena,2011
Loyola (MD),Greyhounds,L-MD,MAAC,"Baltimore, MD",Reitz Arena,2011
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2011
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2011
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2011
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2011
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2011
Marquette,Golden Eagles,MARQ,AAC,"Milwaukee, WI",Fiserv Forum,2011
Marshall,Thundering Herd,MARSH,C-USA,"Huntington, WV",Cam Henderson Center,2011
Maryland,Terrapins,UMD,ACC,"College Park, MD",XFINITY Center,2011
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2011
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2011
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2011
Memphis,Tigers,MEMP,C-USA,"Memphis, TN",FedExForum,2011
Mercer,Bears,MER,A-Sun,"Macon, GA",Hawkins Arena,2011
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2011
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2011
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2011
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2011
Middle Tennessee State,Blue Raiders,MTSU,Sun Belt,"Murfreesboro, TN",Murphy Center,2011
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2011
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2011
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2011
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2011
Missouri,Tigers,MZZOU,Big 12,"Columbia, MO",Mizzou Arena,2011
